yardline_100,ydstogo,td_prob,fg_prob,opp_td_prob,opp_fg_prob,no_score_prob
8.0,6.0,0.0053544855,0.9774658,0.006767778,0.0039919047,0.0062912563
8.0,7.0,0.012853062,0.96274424,0.008501606,0.0052010273,0.01045867
8.0,8.0,0.010881307,0.9653556,0.0075243604,0.004593482,0.011424541
9.0,1.0,0.23730336,0.67110944,0.029355034,0.017648038,0.043385006
9.0,2.0,0.10095911,0.77509516,0.015767867,0.008896401,0.098223045
9.0,3.0,0.03611915,0.9030509,0.008270505,0.0055893757,0.046524
9.0,4.0,0.02168207,0.9464116,0.009931972,0.0063022226,0.015258712
9.0,5.0,0.021565998,0.93339527,0.008650511,0.0051098187,0.030886738
9.0,6.0,0.0068519586,0.97593147,0.0085157035,0.0051943143,0.0033619262
9.0,7.0,0.0063919136,0.97625697,0.008234205,0.004759391,0.00422202
9.0,8.0,0.012513397,0.9379781,0.008102692,0.004671517,0.036464117
9.0,9.0,0.010696167,0.9540992,0.0071928944,0.00473983,0.023026306
10.0,1.0,0.26868713,0.65403295,0.031672593,0.020857872,0.0234395
10.0,2.0,0.038515735,0.881759,0.010500565,0.007412754,0.061091438
10.0,3.0,0.021029713,0.9484552,0.0116644,0.007175041,0.011377068
10.0,4.0,0.026534319,0.9386898,0.013052691,0.008004234,0.01333964
10.0,5.0,0.026398584,0.93928593,0.013230203,0.009182162,0.011494377
10.0,6.0,0.013940645,0.94775975,0.008915363,0.0058702664,0.023170788
10.0,7.0,0.01998047,0.92901355,0.010600199,0.007068935,0.032929722
10.0,8.0,0.0109848445,0.9544542,0.008628407,0.0055028354,0.020234415
10.0,9.0,0.01110933,0.95342696,0.008657048,0.0056462614,0.020874972
10.0,10.0,0.007282721,0.9653018,0.007903055,0.0051015,0.014240838
11.0,1.0,0.28202552,0.6178377,0.0363592,0.022266043,0.040032964
11.0,2.0,0.054173328,0.86160505,0.01352353,0.008446697,0.06156604
11.0,3.0,0.029582338,0.9075451,0.009817768,0.006011646,0.04653127
11.0,4.0,0.025699051,0.92174274,0.01258774,0.007121881,0.032429527
11.0,5.0,0.0130223315,0.9476078,0.009239725,0.005631192,0.024269741
11.0,6.0,0.008283357,0.96797687,0.011394836,0.006621819,0.005538672
11.0,7.0,0.0064935577,0.9668525,0.008674045,0.0062298677,0.011594844
11.0,8.0,0.012623578,0.95449704,0.010384236,0.0063694795,0.015877917
11.0,9.0,0.009470275,0.9655752,0.012097914,0.0072719073,0.005389911
11.0,10.0,0.007872465,0.95665354,0.0074231033,0.0040583806,0.023817103
11.0,11.0,0.012151305,0.95418906,0.010673724,0.006655383,0.01606454
12.0,1.0,0.2888862,0.61379457,0.04058005,0.023381965,0.031981394
12.0,2.0,0.05410688,0.9042491,0.01848559,0.011291024,0.011357338
12.0,3.0,0.028369805,0.91482127,0.013730667,0.008570362,0.034139227
12.0,4.0,0.026506307,0.9361725,0.016948037,0.010773722,0.009202062
12.0,5.0,0.02698691,0.9223872,0.013149359,0.007747102,0.029287117
12.0,6.0,0.006807208,0.9624119,0.009255773,0.0064291316,0.014944699
12.0,7.0,0.019260213,0.94681585,0.016058093,0.010013637,0.0074892147
